Question Number,Block,Question Text,Question Type,Choices,Matrix Scale Points,Display Logic
1682,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1683,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1684,,Where are you from?,Text Entry,,,
1685,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1686,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1687,,What is your phone number?,Text Entry,,,
1688,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1689,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1690,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1691,,Where are you from?,Text Entry,,,
1692,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1693,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1694,,What is your phone number?,Text Entry,,,
1695,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1696,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1697,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1698,,Where are you from?,Text Entry,,,
1699,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1700,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1701,,What is your phone number?,Text Entry,,,
1702,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1703,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1704,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1705,,Where are you from?,Text Entry,,,
1706,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1707,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1708,,What is your phone number?,Text Entry,,,
1709,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1710,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1711,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1712,,Where are you from?,Text Entry,,,
1713,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1714,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1715,,What is your phone number?,Text Entry,,,
1716,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1717,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1718,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1719,,Where are you from?,Text Entry,,,
1720,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1721,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1722,,What is your phone number?,Text Entry,,,
1723,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1724,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1725,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1726,,Where are you from?,Text Entry,,,
1727,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1728,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1729,,What is your phone number?,Text Entry,,,
1730,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1731,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1732,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1733,,Where are you from?,Text Entry,,,
1734,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1735,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1736,,What is your phone number?,Text Entry,,,
1737,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1738,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1739,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1740,,Where are you from?,Text Entry,,,
1741,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1742,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1743,,What is your phone number?,Text Entry,,,
1744,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1745,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1746,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1747,,Where are you from?,Text Entry,,,
1748,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1749,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1750,,What is your phone number?,Text Entry,,,
1751,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1752,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1753,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1754,,Where are you from?,Text Entry,,,
1755,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1756,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1757,,What is your phone number?,Text Entry,,,
1758,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1759,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1760,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1761,,Where are you from?,Text Entry,,,
1762,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1763,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1764,,What is your phone number?,Text Entry,,,
1765,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1766,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1767,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1768,,Where are you from?,Text Entry,,,
1769,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1770,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1771,,What is your phone number?,Text Entry,,,
1772,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1773,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1774,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1775,,Where are you from?,Text Entry,,,
1776,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1777,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1778,,What is your phone number?,Text Entry,,,
1779,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1780,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1781,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1782,,Where are you from?,Text Entry,,,
1783,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1784,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1785,,What is your phone number?,Text Entry,,,
1786,,Welcome to my survey. Fill it all out. Stay frosty.,Text,,,
1787,,What is your favorite food?,Multiple Choice - Single Select,"Burgers, Tacos, Pizza, Chicken Nuggets, Other (Text Entry) ",,
1788,,What sports do you play?,Multiple Choice - Multiple Select,"Basketball, Football, Tennis, Cricket, None of the above (Exclusive)",,
1789,,Where are you from?,Text Entry,,,
1790,,What is your tshirt size?,Multiple Choice - Single Select,"Small, Medium, Large",,
1791,,What do you think about the following brands?,Matrix Table - Single Select,"Apple, Samsung, Google","Hate it, Like it, Love it",
1792,,What is your phone number?,Text Entry,,,
